"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP DATAMAINT BY VISTEX 6.3";"SAP Data Maintenance by Vistex 6.3";"SAP DATA MAINTENANCE BY VISTEX";"SAP Data Maintenance by Vistex";"Technology Platform";"Yes";"Unrestricted available";"";"16.08.2023";"16.08.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007021";
"SAP DC APP CTRL ECC 1.0";"SAP Data Custodian 1.0, add-on for SAP ERP";"SAP DC APP CTRL ECC";"SAP Data Custodian";"Technology Platform";"Yes";"Unrestricted available";"";"04.02.2020";"04.02.2020";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004461";
"SAP DQM SDK 4.2";"SAP Data Quality Management SDK 4.2";"SAP DQM SDK";"SAP Data Quality Management";"Technology Platform";"No";"Out of maintenance";"";"13.05.2013";"06.12.2013";"";"";"31.05.2023";"";"31.12.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006122";
"SAP DSIM 2.0 FOR SAP BW/4HANA";"SAP Demand Signal Management 2.0, version for SAP BW/4HANA";"SAP DSIM FOR SAP BW/4HANA";"SAP Demand Signal Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"23.04.2021";"23.04.2021";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004777";
"SAP EAM MOBILE APP SDK 2.1";"SAP EAM and service mobile app SDK 2.1";"SAP EAM MOBILE APP SDK";"SAP EAM and service mobile app SDK";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"15.09.2016";"15.09.2016";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000820";
"SAP EASY DOCUMENT MGMT 7.1";"SAP Easy Document Management 7.1";"SAP EASY DOCUMENT MANAGEMENT";"SAP Easy Document Management";"Product Lifecycle Management";"No";"Unrestricted available";"14.07.2010";"06.09.2010";"07.02.2011";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002903";
"SAP EDGE SERVICES OP 3.0";"SAP Edge Services, on-premise edition 3.0";"SAP EDGE SERVICES OP";"SAP Edge Services";"Technology Platform";"Yes";"In customer-specific maintenance";"";"15.09.2017";"15.09.2017";"";"";"31.12.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002327";
"SAP EFM BY OT 21.4";"SAP Employee File Management 21.4 by OpenText";"SAP EFM BY OT";"SAP Employee File Management by OpenText";"Human Capital Management";"Yes";"Unrestricted available";"";"20.01.2022";"20.01.2022";"";"";"30.11.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006274";
"SAP ENH. MAINTEN. SVC PLAN 1.0";"SAP Enhanced Maintenance and Service Planning 1.0";"SAP ENH. MAINTEN. SVC PLAN";"SAP Enhanced Maintenance and Service Planning";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"30.10.2014";"30.10.2014";"Ready";"30.10.2014";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008801";
"SAP ERP EA-PS - LOCCN 606";"SAP enhancement package 6 for SAP ERP 6.0, public sector localization for China";"SAP ERP EA-PS - LOCCN";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"08.11.2011";"08.11.2011";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005783";
"SAP ERP GLTRADE GLO 607";"SAP Global Trade Services, localization extensions 607";"SAP ERP GLTRADE GLO";"SAP Global Trade Services";"Financial Management";"Yes";"Unrestricted available";"";"13.11.2012";"13.11.2012";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900005414";
"SAP ERP HCM - PS LOCES 600";"SAP ERP HCM 6.0, localization for Spain public sector";"SAP ERP HCM - PS LOCES";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"14.10.2008";"14.10.2008";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001734";
"SAP ERP HCM - PS LOCES 608";"SAP enhancement package 8 for SAP ERP HCM 6.0, localization for Spain public sector";"SAP ERP HCM - PS LOCES";"SAP ERP";"Enterprise Management";"Yes";"Restricted available  (productive use allowed)";"";"11.11.2014";"";"";"";"31.12.2027";"31.12.2030";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000034";
"SAP FIORI FOR SAP CARAB 1.0";"SAP Fiori 1.0 for SAP Customer Activity Repository retail applications bundle";"SAP FIORI FOR SAP CARAB";"SAP Fiori";"Technology Platform";"Yes";"In customer-specific maintenance";"";"20.10.2014";"31.07.2015";"Ready";"";"19.06.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007984";
"SAP FIORI FOR SAP CARAB 3.0";"SAP Fiori for SAP Customer Activity Repository retail applications bundle 3.0";"SAP FIORI FOR SAP CARAB";"SAP Fiori";"Technology Platform";"Yes";"In customer-specific maintenance";"";"25.11.2016";"28.11.2016";"Ready";"";"31.12.2022";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001428";
"SAP FIORI FOR SAP RM 1.0";"SAP Fiori 1.0 for SAP Risk Management";"SAP FIORI FOR RISK MANAGEMENT";"SAP Fiori";"Technology Platform";"Yes";"In customer-specific maintenance";"";"02.11.2016";"02.11.2016";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001211";
"SAP FIORI TOOLS 1.0";"SAP Fiori tools 1.0";"SAP FIORI TOOLS";"SAP Fiori";"Technology Platform";"Yes";"Restricted available  (productive use allowed)";"13.02.2020";"18.06.2020";"";"";"";"29.06.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004107";
"SAP FLEX. SOLUTION BILLING 1.0";"SAP Flexible Solution Billing 1.0";"SAP FLEX. SOLUTION BILLING";"SAP Sales Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"17.01.2014";"17.01.2014";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007514";
"SAP FS DATA MANAGEMENT 1.0";"SAP Financial Services Data Management 1.0";"SAP FS DATA MANAGEMENT";"SAP Financial Services Data Management";"Financial Management";"Yes";"Unrestricted available";"";"08.12.2017";"08.12.2017";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002263";
"SAP GEF 1.0";"SAP Geographical Enablement Framework 1.0";"SAP GEF";"SAP Geographical Enablement Framework";"Technology Platform";"Yes";"Unrestricted available";"";"04.05.2016";"04.05.2016";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000653";
"SAP HANA ANALY. ERP EHP4 1.0";"SAP HANA Live 1.0 for EHP 4 for SAP ERP 6.0";"SAP HANA ANALY. ERP EHP4";"SAP HANA Live";"Technology Platform";"Yes";"Unrestricted available";"";"15.05.2013";"09.08.2013";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008179";
"SAP HANA ANALYTICS F. REFX 1.0";"SAP HANA Live 1.0 for Flexible Real Estate Management";"SAP HANA ANALYTICS F. REFX";"SAP HANA Live";"Technology Platform";"Yes";"Unrestricted available";"";"28.07.2014";"28.07.2014";"Ready";"17.12.2012";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000008";
"SAP HANA ANALYTICS F. RTL 1.0";"SAP HANA Live 1.0 for Retail";"SAP HANA ANALYTICS F. RTL";"SAP HANA Live";"Technology Platform";"Yes";"Unrestricted available";"";"28.07.2014";"28.07.2014";"Ready";"17.12.2012";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007852";
"SAP HANA PLATFORM HEALTH 2.0";"SAP Connected Health platform 2.0";"SAP HANA PLATFORM HEALTH";"SAP Health";"Customer Relationship Management";"Yes";"Unrestricted available";"";"13.12.2018";"13.12.2018";"Ready";"";"31.03.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002802";
"SAP HANA SPATIAL SERVICES 2.0";"SAP HANA spatial services 2.0";"SAP HANA SPATIAL SERVICES";"SAP HANA";"Technology Platform";"No";"Restricted available  (productive use allowed)";"";"01.04.2021";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005265";
"SAP HX-CEE 110_606";"SAP ERP HCM 606, localization for CEE";"SAP HX-CEE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"20.02.2012";"07.05.2012";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900006505";
"SAP IND.PACK TELCOUTIL OD 2302";"SAP Commerce Cloud, telco and utilities accelerator 2302";"SAP IND.PACK TELCOUTIL OD";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"15.02.2023";"15.02.2023";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006678";
"SAP INFORM. CAPT. BY OT 20.4";"SAP Information Capture 20.4 by OpenText";"SAP IES BY OT";"SAP Information Capture by OpenText";"Technology Platform";"No";"Unrestricted available";"";"15.12.2020";"15.12.2020";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005563";
"SAP INFORM. CAPT. BY OT 21.4";"SAP Information Capture 21.4 by OpenText";"SAP IES BY OT";"SAP Information Capture by OpenText";"Technology Platform";"No";"Unrestricted available";"";"19.01.2022";"19.01.2022";"";"";"26.11.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006161";
"SAP INFORM. CAPT.BY OT CL 22.4";"SAP Information Capture Core 22.4 by OpenText";"SAP IES BY OT, CLOUD EDN.";"SAP Information Capture by OpenText";"Technology Platform";"No";"Unrestricted available";"";"12.12.2022";"12.12.2022";"";"";"30.11.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007372";
"SAP INFORM. CAPT.BY OT CL 23.4";"SAP Information Capture Core 23.4 by OpenText";"SAP IES BY OT, CLOUD EDN.";"SAP Information Capture by OpenText";"Technology Platform";"No";"Unrestricted available";"";"07.12.2023";"07.12.2023";"";"";"30.11.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008257";
"SAP INSURANCE FS-PM-AUTO 1.4";"SAP Policy Management add-on for auto insurance 1.4";"SAP INSURANCE FS-PM-AUTO";"SAP Policy Management";"Customer Relationship Management";"Yes";"In customer-specific maintenance";"";"07.07.2015";"07.07.2015";"";"";"31.12.2022";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008815";
"SAP INSURANCE FS-PM-AUTO 1.5";"SAP Policy Management add-on for auto insurance 1.5";"SAP INSURANCE FS-PM-AUTO";"SAP Policy Management";"Customer Relationship Management";"Yes";"Unrestricted available";"";"27.04.2017";"27.04.2017";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000367";
"SAP INTELL METER GER ENRGY 2.0";"SAP Intelligent Metering for German Energy Utilities 2.0";"SAP INTELL METER GER ENRGY";"SAP Intelligent Metering for German Energy Utilities";"Product Lifecycle Management";"Yes";"Restricted available  (productive use allowed)";"";"15.08.2016";"";"Planned";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001005";
"SAP IS-PS-XT 6.00";"extended functions for U.S. federal agencies 6.0";"SAP FUNDS MANAGEMENT";"extended functions for U.S. federal agencies";"Financial Management";"Yes";"Unrestricted available";"";"25.11.2005";"31.12.2006";"Ready";"";"31.12.2040";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000271";
"SAP LOSS PREV. BY FUJITSU 3.1";"SAP Loss Prevention 3.1 by Fujitsu";"SAP LOSS PREVENTION BY FUJITSU";"SAP Loss Prevention by Fujitsu";"Product Lifecycle Management";"No";"Unrestricted available";"";"04.12.2023";"04.12.2023";"";"";"05.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007292";
"SAP MAINTENANCE ASSISTANT 2308";"SAP Maintenance Assistant 2308";"SAP MAINTENANCE ASSISTANT";"SAP Maintenance Assistant";"Enterprise Management";"No";"Undefined";"";"";"";"";"";"31.08.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007081";
"SAP MAM 2.5 (ON NW04)";"SAP Mobile Asset Management 2.5 for SAP NetWeaver 2004";"SAP MAM";"SAP Intelligent Asset Management";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"30.07.2004";"30.06.2005";"";"";"31.03.2010";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001529";
"SAP MEAT MGMT BY MSG 2.0";"SAP Meat and Fish Management 2.0 by msg";"SAP MEAT MGMT BY MSG";"SAP Meat and Fish Management by msg";"Product Lifecycle Management";"Yes";"Restricted available  (productive use allowed)";"";"29.09.2016";"";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000013";
"SAP MEAT MGMT BY MSG 5.50";"SAP Meat and Fish Management 5.5 by msg";"SAP MEAT MGMT BY MSG";"SAP Meat and Fish Management by msg";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"21.12.2017";"21.12.2017";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002421";
"SAP MFG EXECUTION 5.2";"SAP Manufacturing Execution 5.2";"SAP MFG EXECUTION";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"19.06.2009";"03.12.2009";"";"";"30.06.2016";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001667";
"SAP MOBILE PLATFORM 2.3";"SAP Mobile Platform 2.3";"SAP MOBILE PLATFORM";"SAP Mobile Platform";"Technology Platform";"No";"In customer-specific maintenance";"";"26.03.2013";"20.09.2013";"";"";"31.12.2016";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006730";
"SAP MOBILE PLATFORM SDK 3.0";"SAP Mobile Platform SDK 3.0";"SAP MOBILE PLATFORM SDK";"SAP Mobile Platform";"Technology Platform";"No";"In customer-specific maintenance";"";"18.11.2013";"18.11.2013";"Ready";"";"31.12.2018";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006835";
"SAP MOBILE PLATFORM SDK 3.1";"SAP Mobile Platform SDK 3.1";"SAP MOBILE PLATFORM SDK";"SAP Mobile Platform";"Technology Platform";"No";"In customer-specific maintenance";"";"20.04.2018";"20.04.2018";"Ready";"";"31.03.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002542";
"SAP OPEN SCALE MGMT BY GK 6.0";"SAP Open Scale Management 6.0 by GK";"SAP OPEN SCALE MGMT BY GK";"SAP Store Management by GK";"Customer Relationship Management";"Yes";"Unrestricted available";"";"15.07.2016";"15.07.2016";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001093";
"SAP OPEN SERVER 16.1";"SAP Open Server 16.1";"SAP OPEN SERVER";"SAP Open Server";"Technology Platform";"No";"Unrestricted available";"";"28.02.2025";"28.02.2025";"";"";"31.12.2032";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009153";
"SAP PDMI TO 3DX 2.1";"SAP product data management integration to 3DEXPERIENCE 2.1";"SAP ECTR INTERFACE TO 3DEXPRNE";"SAP product data management foundation";"Product Lifecycle Management";"No";"Unrestricted available";"";"02.06.2023";"02.06.2023";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006792";
"SAP PLANT CONNECTIVITY 2.0";"SAP Plant Connectivity 2.0";"SAP PLANT CONNECTIVITY";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"";"18.12.2008";"30.09.2009";"";"";"31.03.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001015";
"SAP PLM I. TO INVENTOR CD 6.1";"SAP PLM interface to Inventor CD 6.1";"PLM INTEGRATION INVENTOR";"SAP PLM interface";"Product Lifecycle Management";"No";"Unrestricted available";"";"02.09.2010";"02.09.2010";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005170";
"SAP PRODUCTION CONNECTOR 1.0";"production connector 1.0 for SAP Digital Manufacturing";"SAP PRODUCTION CONNECTOR";"SAP Digital Manufacturing";"Supply Chain Management";"No";"In customer-specific maintenance";"";"12.11.2022";"12.11.2022";"";"";"30.11.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006994";
"SAP PRODUCTIVITY COMPOSER 3.1";"SAP Productivity Composer 3.1 by ANCILE";"SAP PROD. COMPOSER BY ANCILE";"SAP Productivity Composer by ANCILE";"Human Capital Management";"No";"In customer-specific maintenance";"";"03.03.2009";"03.03.2009";"";"";"31.08.2010";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001606";
"SAP QUALITY CENTER BY MF 25.1";"SAP Quality Center 25.1 by Micro Focus, enterprise edition";"SAP QUALITY CENTER BY HP";"SAP Quality Center by Micro Focus";"Technology Platform";"No";"Unrestricted available";"";"01.08.2025";"01.08.2025";"";"";"29.02.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008693";
"SAP QUALITY CENTER PREM. 12.53";"SAP Quality Center 12.53 by HPE, premier edition";"SAP QUALITY CENTER PREM. BY MF";"SAP Quality Center by Micro Focus";"Technology Platform";"No";"Unrestricted available";"";"16.12.2016";"16.12.2016";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001615";
"SAP RAILCAR MGMT. 6.17";"SAP Railcar Management Component 6.17";"SAP RAILCAR MANAGEMENT";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"04.11.2013";"";"Ready";"02.05.2014";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007187";
"SAP RAILCAR TRACKING 7.00";"SAP Railcar Management tracking add-on 7.0";"SAP RAILCAR TRACKING";"SAP Railcar Management Component";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"22.06.2009";"";"On Request";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004135";
"SAP REG MGMT 3.0 BY GREENLIGHT";"SAP Regulation Management 3.0 by Greenlight";"SAP REG MGMT BY GREENLIGHT";"SAP Regulation Management by Pathlock";"Financial Management";"No";"Unrestricted available";"";"22.05.2019";"22.05.2019";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003971";
"SAP REP SRV OPT ORACLE 15.7";"SAP Sybase Replication Server 15.7, option for Oracle";"SYBASE REP SERVER OPT ORACLE";"SAP Replication Server";"Technology Platform";"No";"In customer-specific maintenance";"";"07.12.2012";"07.12.2012";"";"";"31.12.2021";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006045";
"SAP S&OP 3.0";"SAP Sales and Operations Planning 3.0";"SAP S&OP";"SAP Sales and Operations Planning";"Supply Chain Management";"Yes";"Unrestricted available";"";"03.09.2013";"03.09.2013";"Ready";"12.08.2013";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008464";
